Item Name,ID,Max Stack Size,Has Block,Creative Tabs,Block Loot Behavior,No Loot Table,Override Loot Source Block,Vanilla Loot Method,Loot Drop Field,Included
Cut Sandstone Slab,cut_sandstone_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Cyan Banner,cyan_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Cyan Bed,cyan_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Cyan Bundle,cyan_bundle,1,No,tools_and_utilities,,No,,,,No
Cyan Candle,cyan_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Cyan Carpet,cyan_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Cyan Concrete,cyan_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Cyan Concrete Powder,cyan_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Cyan Dye,cyan_dye,64,No,ingredients,,No,,,,Yes
Cyan Glazed Terracotta,cyan_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Cyan Harness,cyan_harness,1,No,tools_and_utilities,,No,,,,No
Cyan Shulker Box,cyan_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Cyan Stained Glass,cyan_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Cyan Stained Glass Pane,cyan_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Cyan Terracotta,cyan_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Cyan Wool,cyan_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Damaged Anvil,damaged_anvil,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Dandelion,dandelion,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Danger Pottery Sherd,danger_pottery_sherd,64,No,ingredients,,No,,,,Yes
Dark Oak Boat,dark_oak_boat,1,No,tools_and_utilities,,No,,,,No
Dark Oak Button,dark_oak_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Chest Boat,dark_oak_chest_boat,1,No,tools_and_utilities,,No,,,,No
Dark Oak Door,dark_oak_door,64,Yes,building_blocks,default,No,,custom,,Yes
Dark Oak Fence,dark_oak_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Fence Gate,dark_oak_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Hanging Sign,dark_oak_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Dark Oak Leaves,dark_oak_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Dark Oak Log,dark_oak_log,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Dark Oak Planks,dark_oak_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Pressure Plate,dark_oak_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Sapling,dark_oak_sapling,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dark Oak Sign,dark_oak_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Dark Oak Slab,dark_oak_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Dark Oak Stairs,dark_oak_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Trapdoor,dark_oak_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Oak Wood,dark_oak_wood,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Prismarine,dark_prismarine,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dark Prismarine Slab,dark_prismarine_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Dark Prismarine Stairs,dark_prismarine_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Daylight Detector,daylight_detector,64,Yes,redstone_blocks,default,No,,drop_self,,Yes
Dead Brain Coral,dead_brain_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Brain Coral Block,dead_brain_coral_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dead Brain Coral Fan,dead_brain_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Bubble Coral,dead_bubble_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Bubble Coral Block,dead_bubble_coral_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dead Bubble Coral Fan,dead_bubble_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Bush,dead_bush,64,Yes,natural_blocks,default,No,,custom,,Yes
Dead Fire Coral,dead_fire_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Fire Coral Block,dead_fire_coral_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dead Fire Coral Fan,dead_fire_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Horn Coral,dead_horn_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Horn Coral Block,dead_horn_coral_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dead Horn Coral Fan,dead_horn_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Tube Coral,dead_tube_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Dead Tube Coral Block,dead_tube_coral_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dead Tube Coral Fan,dead_tube_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Debug Stick,debug_stick,1,No,op_blocks,,No,,,,No
Decorated Pot,decorated_pot,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Deepslate,deepslate,64,Yes,building_blocks; natural_blocks,default,No,,custom,,Yes
Deepslate Brick Slab,deepslate_brick_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Deepslate Brick Stairs,deepslate_brick_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Deepslate Brick Wall,deepslate_brick_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Deepslate Bricks,deepslate_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Deepslate Coal Ore,deepslate_coal_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Copper Ore,deepslate_copper_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Diamond Ore,deepslate_diamond_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Emerald Ore,deepslate_emerald_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Gold Ore,deepslate_gold_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Iron Ore,deepslate_iron_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Lapis Ore,deepslate_lapis_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Redstone Ore,deepslate_redstone_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Deepslate Tile Slab,deepslate_tile_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Deepslate Tile Stairs,deepslate_tile_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Deepslate Tile Wall,deepslate_tile_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Deepslate Tiles,deepslate_tiles,64,Yes,building_blocks,default,No,,drop_self,,Yes
Detector Rail,detector_rail,64,Yes,redstone_blocks; tools_and_utilities,default,No,,drop_self,,Yes
Diamond,diamond,64,No,ingredients,,No,,,,Yes
Diamond Axe,diamond_axe,1,No,tools_and_utilities; combat,,No,,,,No
Diamond Block,diamond_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Diamond Boots,diamond_boots,1,No,combat,,No,,,,No
Diamond Chestplate,diamond_chestplate,1,No,combat,,No,,,,No
Diamond Helmet,diamond_helmet,1,No,combat,,No,,,,No
Diamond Hoe,diamond_hoe,1,No,tools_and_utilities,,No,,,,No
Diamond Horse Armor,diamond_horse_armor,1,No,combat,,No,,,,No
Diamond Leggings,diamond_leggings,1,No,combat,,No,,,,No
Diamond Ore,diamond_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Diamond Pickaxe,diamond_pickaxe,1,No,tools_and_utilities,,No,,,,No
Diamond Shovel,diamond_shovel,1,No,tools_and_utilities,,No,,,,No
Diamond Sword,diamond_sword,1,No,combat,,No,,,,No
Diorite,diorite,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Diorite Slab,diorite_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Diorite Stairs,diorite_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Diorite Wall,diorite_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Dirt,dirt,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dirt Path,dirt_path,64,Yes,natural_blocks,default,No,,drop_other,DIRT,No
Disc Fragment 5,disc_fragment_5,64,No,ingredients,,No,,,,Yes
Dispenser,dispenser,64,Yes,redstone_blocks,default,No,,custom,,Yes
Dolphin Spawn Egg,dolphin_spawn_egg,64,No,spawn_eggs,,No,,,,No
Donkey Spawn Egg,donkey_spawn_egg,64,No,spawn_eggs,,No,,,,No
Dragon Breath,dragon_breath,64,No,ingredients,,No,,,,Yes
Dragon Egg,dragon_egg,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Dragon Head,dragon_head,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Dried Ghast,dried_ghast,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dried Kelp,dried_kelp,64,No,food_and_drinks,,No,,,,Yes
Dried Kelp Block,dried_kelp_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dripstone Block,dripstone_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Dropper,dropper,64,Yes,redstone_blocks,default,No,,custom,,Yes
Drowned Spawn Egg,drowned_spawn_egg,64,No,spawn_eggs,,No,,,,No
Dune Armor Trim Smithing Template,dune_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Echo Shard,echo_shard,64,No,ingredients,,No,,,,Yes
Egg,egg,16,No,combat; ingredients,,No,,,,Yes
Elder Guardian Spawn Egg,elder_guardian_spawn_egg,64,No,spawn_eggs,,No,,,,No
Elytra,elytra,1,No,tools_and_utilities,,No,,,,No
Emerald,emerald,64,No,ingredients,,No,,,,Yes
Emerald Block,emerald_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Emerald Ore,emerald_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Enchanted Book,enchanted_book,1,No,,,No,,,,No
Enchanted Golden Apple,enchanted_golden_apple,64,No,food_and_drinks,,No,,,,Yes
Enchanting Table,enchanting_table,64,Yes,functional_blocks,default,No,,custom,,Yes
End Crystal,end_crystal,64,No,functional_blocks; combat,,No,,,,Yes
End Portal Frame,end_portal_frame,64,Yes,functional_blocks,no_loot_table,Yes,,,,No
End Rod,end_rod,64,Yes,functional_blocks,default,No,,drop_self,,Yes
End Stone,end_stone,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
End Stone Brick Slab,end_stone_brick_slab,64,Yes,building_blocks,default,No,,custom,,Yes
End Stone Brick Stairs,end_stone_brick_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
End Stone Brick Wall,end_stone_brick_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
End Stone Bricks,end_stone_bricks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Ender Chest,ender_chest,64,Yes,functional_blocks,default,No,,custom,,Yes
Ender Dragon Spawn Egg,ender_dragon_spawn_egg,64,No,,,No,,,,No
Ender Eye,ender_eye,64,No,functional_blocks; tools_and_utilities; ingredients,,No,,,,Yes
Ender Pearl,ender_pearl,16,No,tools_and_utilities; ingredients,,No,,,,Yes
Enderman Spawn Egg,enderman_spawn_egg,64,No,spawn_eggs,,No,,,,No
Endermite Spawn Egg,endermite_spawn_egg,64,No,spawn_eggs,,No,,,,No
Evoker Spawn Egg,evoker_spawn_egg,64,No,spawn_eggs,,No,,,,No
Experience Bottle,experience_bottle,64,No,ingredients,,No,,,,Yes
Explorer Pottery Sherd,explorer_pottery_sherd,64,No,ingredients,,No,,,,Yes
Exposed Chiseled Copper,exposed_chiseled_copper,64,Yes,building_blocks,default,No,,drop_self,,Yes
Exposed Copper,exposed_copper,64,Yes,building_blocks,default,No,,drop_self,,Yes
Exposed Copper Bulb,exposed_copper_bulb,64,Yes,building_blocks; functional_blocks,default,No,,drop_self,,Yes
Exposed Copper Door,exposed_copper_door,64,Yes,building_blocks,default,No,,custom,,Yes
Exposed Copper Grate,exposed_copper_grate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Exposed Copper Trapdoor,exposed_copper_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Exposed Cut Copper,exposed_cut_copper,64,Yes,building_blocks,default,No,,drop_self,,Yes
Exposed Cut Copper Slab,exposed_cut_copper_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Exposed Cut Copper Stairs,exposed_cut_copper_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Eye Armor Trim Smithing Template,eye_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Farmland,farmland,64,Yes,natural_blocks,default,No,,drop_other,DIRT,No
Feather,feather,64,No,ingredients,,No,,,,Yes
Fermented Spider Eye,fermented_spider_eye,64,No,ingredients,,No,,,,Yes
Fern,fern,64,Yes,natural_blocks,default,No,,custom,,Yes
Field Masoned Banner Pattern,field_masoned_banner_pattern,1,No,ingredients,,No,,,,No
Filled Map,filled_map,64,No,,,No,,,,Yes
Fire Charge,fire_charge,64,No,tools_and_utilities; ingredients,,No,,,,Yes
Fire Coral,fire_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Fire Coral Block,fire_coral_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Fire Coral Fan,fire_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Firefly Bush,firefly_bush,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Firework Rocket,firework_rocket,64,No,,,No,,,,Yes
Firework Star,firework_star,64,No,ingredients,,No,,,,No
Fishing Rod,fishing_rod,1,No,tools_and_utilities,,No,,,,No
Fletching Table,fletching_table,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Flint,flint,64,No,ingredients,,No,,,,Yes
Flint And Steel,flint_and_steel,1,No,tools_and_utilities,,No,,,,No
Flow Armor Trim Smithing Template,flow_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Flow Banner Pattern,flow_banner_pattern,1,No,ingredients,,No,,,,No
Flow Pottery Sherd,flow_pottery_sherd,64,No,ingredients,,No,,,,Yes
Flower Banner Pattern,flower_banner_pattern,1,No,ingredients,,No,,,,No
Flower Pot,flower_pot,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Flowering Azalea,flowering_azalea,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Flowering Azalea Leaves,flowering_azalea_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Fox Spawn Egg,fox_spawn_egg,64,No,spawn_eggs,,No,,,,No
Friend Pottery Sherd,friend_pottery_sherd,64,No,ingredients,,No,,,,Yes
Frog Spawn Egg,frog_spawn_egg,64,No,spawn_eggs,,No,,,,No
Frogspawn,frogspawn,64,Yes,natural_blocks,default,No,,no_drop,,No
Furnace,furnace,64,Yes,functional_blocks; redstone_blocks,default,No,,custom,,Yes
Furnace Minecart,furnace_minecart,1,No,redstone_blocks; tools_and_utilities,,No,,,,No
Ghast Spawn Egg,ghast_spawn_egg,64,No,spawn_eggs,,No,,,,No
Ghast Tear,ghast_tear,64,No,ingredients,,No,,,,Yes
Gilded Blackstone,gilded_blackstone,64,Yes,building_blocks,default,No,,custom,,Yes
Glass,glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Glass Bottle,glass_bottle,64,No,ingredients,,No,,,,Yes
Glass Pane,glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Glistering Melon Slice,glistering_melon_slice,64,No,ingredients,,No,,,,Yes
Globe Banner Pattern,globe_banner_pattern,1,No,ingredients,,No,,,,No
Glow Berries,glow_berries,64,No,natural_blocks; food_and_drinks,,No,,,,Yes
Glow Ink Sac,glow_ink_sac,64,No,ingredients,,No,,,,Yes
Glow Item Frame,glow_item_frame,64,No,functional_blocks,,No,,,,Yes
Glow Lichen,glow_lichen,64,Yes,natural_blocks; functional_blocks,default,No,,custom,,Yes
Glow Squid Spawn Egg,glow_squid_spawn_egg,64,No,spawn_eggs,,No,,,,No
Glowstone,glowstone,64,Yes,natural_blocks; functional_blocks,default,No,,custom,,Yes
Glowstone Dust,glowstone_dust,64,No,ingredients,,No,,,,Yes
Goat Horn,goat_horn,1,No,tools_and_utilities,,No,,,,No
Goat Spawn Egg,goat_spawn_egg,64,No,spawn_eggs,,No,,,,No
Gold Block,gold_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Gold Ingot,gold_ingot,64,No,ingredients,,No,,,,Yes
Gold Nugget,gold_nugget,64,No,ingredients,,No,,,,Yes
Gold Ore,gold_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Golden Apple,golden_apple,64,No,food_and_drinks,,No,,,,Yes
Golden Axe,golden_axe,1,No,tools_and_utilities; combat,,No,,,,No
Golden Boots,golden_boots,1,No,combat,,No,,,,No
Golden Carrot,golden_carrot,64,No,food_and_drinks; ingredients,,No,,,,Yes
Golden Chestplate,golden_chestplate,1,No,combat,,No,,,,No
Golden Helmet,golden_helmet,1,No,combat,,No,,,,No
Golden Hoe,golden_hoe,1,No,tools_and_utilities,,No,,,,No
Golden Horse Armor,golden_horse_armor,1,No,combat,,No,,,,No
Golden Leggings,golden_leggings,1,No,combat,,No,,,,No
Golden Pickaxe,golden_pickaxe,1,No,tools_and_utilities,,No,,,,No
Golden Shovel,golden_shovel,1,No,tools_and_utilities,,No,,,,No
Golden Sword,golden_sword,1,No,combat,,No,,,,No
Granite,granite,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Granite Slab,granite_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Granite Stairs,granite_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Granite Wall,granite_wall,64,Yes,building_blocks,default,No,,drop_self,,Yes
Grass Block,grass_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Gravel,gravel,64,Yes,natural_blocks,default,No,,custom,,Yes
Gray Banner,gray_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Gray Bed,gray_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Gray Bundle,gray_bundle,1,No,tools_and_utilities,,No,,,,No
Gray Candle,gray_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Gray Carpet,gray_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Gray Concrete,gray_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Gray Concrete Powder,gray_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Gray Dye,gray_dye,64,No,ingredients,,No,,,,Yes
Gray Glazed Terracotta,gray_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Gray Harness,gray_harness,1,No,tools_and_utilities,,No,,,,No
Gray Shulker Box,gray_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Gray Stained Glass,gray_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Gray Stained Glass Pane,gray_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Gray Terracotta,gray_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Gray Wool,gray_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Banner,green_banner,16,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Green Bed,green_bed,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Green Bundle,green_bundle,1,No,tools_and_utilities,,No,,,,No
Green Candle,green_candle,64,Yes,colored_blocks; functional_blocks,default,No,,custom,,Yes
Green Carpet,green_carpet,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Concrete,green_concrete,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Concrete Powder,green_concrete_powder,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Dye,green_dye,64,No,ingredients,,No,,,,Yes
Green Glazed Terracotta,green_glazed_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Harness,green_harness,1,No,tools_and_utilities,,No,,,,No
Green Shulker Box,green_shulker_box,1,Yes,colored_blocks; functional_blocks,default,No,,custom,,No
Green Stained Glass,green_stained_glass,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Green Stained Glass Pane,green_stained_glass_pane,64,Yes,colored_blocks,default,No,,drop_when_silk_touch,,Yes
Green Terracotta,green_terracotta,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Green Wool,green_wool,64,Yes,colored_blocks,default,No,,drop_self,,Yes
Grindstone,grindstone,64,Yes,functional_blocks,default,No,,drop_self,,Yes
Guardian Spawn Egg,guardian_spawn_egg,64,No,spawn_eggs,,No,,,,No
Gunpowder,gunpowder,64,No,ingredients,,No,,,,Yes
Guster Banner Pattern,guster_banner_pattern,1,No,ingredients,,No,,,,No
Guster Pottery Sherd,guster_pottery_sherd,64,No,ingredients,,No,,,,Yes
Hanging Roots,hanging_roots,64,Yes,natural_blocks,default,No,,custom,,Yes
Happy Ghast Spawn Egg,happy_ghast_spawn_egg,64,No,spawn_eggs,,No,,,,No
Hay Block,hay_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Heart Of The Sea,heart_of_the_sea,64,No,ingredients,,No,,,,Yes
Heart Pottery Sherd,heart_pottery_sherd,64,No,ingredients,,No,,,,Yes
Heartbreak Pottery Sherd,heartbreak_pottery_sherd,64,No,ingredients,,No,,,,Yes
Heavy Core,heavy_core,64,Yes,ingredients,default,No,,drop_self,,Yes
Heavy Weighted Pressure Plate,heavy_weighted_pressure_plate,64,Yes,building_blocks; redstone_blocks,default,No,,drop_self,,Yes
Hoglin Spawn Egg,hoglin_spawn_egg,64,No,spawn_eggs,,No,,,,No
Honey Block,honey_block,64,Yes,natural_blocks; redstone_blocks,default,No,,drop_self,,Yes
Honey Bottle,honey_bottle,16,No,food_and_drinks,,No,,,,Yes
Honeycomb,honeycomb,64,No,ingredients,,No,,,,Yes
Honeycomb Block,honeycomb_block,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Hopper,hopper,64,Yes,redstone_blocks,default,No,,custom,,Yes
Hopper Minecart,hopper_minecart,1,No,redstone_blocks; tools_and_utilities,,No,,,,No
Horn Coral,horn_coral,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Horn Coral Block,horn_coral_block,64,Yes,natural_blocks,default,No,,custom,,Yes
Horn Coral Fan,horn_coral_fan,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Horse Spawn Egg,horse_spawn_egg,64,No,spawn_eggs,,No,,,,No
Host Armor Trim Smithing Template,host_armor_trim_smithing_template,64,No,ingredients,,No,,,,Yes
Howl Pottery Sherd,howl_pottery_sherd,64,No,ingredients,,No,,,,Yes
Husk Spawn Egg,husk_spawn_egg,64,No,spawn_eggs,,No,,,,No
Ice,ice,64,Yes,natural_blocks,default,No,,drop_when_silk_touch,,Yes
Infested Chiseled Stone Bricks,infested_chiseled_stone_bricks,64,Yes,functional_blocks,default,No,,other_when_silk_touch,CHISELED_STONE_BRICKS,No
Infested Cobblestone,infested_cobblestone,64,Yes,functional_blocks,default,No,,other_when_silk_touch,COBBLESTONE,No
Infested Cracked Stone Bricks,infested_cracked_stone_bricks,64,Yes,functional_blocks,default,No,,other_when_silk_touch,CRACKED_STONE_BRICKS,No
Infested Deepslate,infested_deepslate,64,Yes,functional_blocks,default,No,,other_when_silk_touch,DEEPSLATE,No
Infested Mossy Stone Bricks,infested_mossy_stone_bricks,64,Yes,functional_blocks,default,No,,other_when_silk_touch,MOSSY_STONE_BRICKS,No
Infested Stone,infested_stone,64,Yes,functional_blocks,default,No,,other_when_silk_touch,STONE,No
Infested Stone Bricks,infested_stone_bricks,64,Yes,functional_blocks,default,No,,other_when_silk_touch,STONE_BRICKS,No
Ink Sac,ink_sac,64,No,ingredients,,No,,,,Yes
Iron Axe,iron_axe,1,No,tools_and_utilities; combat,,No,,,,No
Iron Bars,iron_bars,64,Yes,building_blocks,default,No,,drop_self,,Yes
Iron Block,iron_block,64,Yes,building_blocks,default,No,,drop_self,,Yes
Iron Boots,iron_boots,1,No,combat,,No,,,,No
Iron Chestplate,iron_chestplate,1,No,combat,,No,,,,No
Iron Door,iron_door,64,Yes,building_blocks; redstone_blocks,default,No,,custom,,Yes
Iron Golem Spawn Egg,iron_golem_spawn_egg,64,No,spawn_eggs,,No,,,,No
Iron Helmet,iron_helmet,1,No,combat,,No,,,,No
Iron Hoe,iron_hoe,1,No,tools_and_utilities,,No,,,,No
Iron Horse Armor,iron_horse_armor,1,No,combat,,No,,,,No
Iron Ingot,iron_ingot,64,No,ingredients,,No,,,,Yes
Iron Leggings,iron_leggings,1,No,combat,,No,,,,No
Iron Nugget,iron_nugget,64,No,ingredients,,No,,,,Yes
Iron Ore,iron_ore,64,Yes,natural_blocks,default,No,,custom,,Yes
Iron Pickaxe,iron_pickaxe,1,No,tools_and_utilities,,No,,,,No
Iron Shovel,iron_shovel,1,No,tools_and_utilities,,No,,,,No
Iron Sword,iron_sword,1,No,combat,,No,,,,No
Iron Trapdoor,iron_trapdoor,64,Yes,building_blocks; redstone_blocks,default,No,,drop_self,,Yes
Item Frame,item_frame,64,No,functional_blocks,,No,,,,Yes
Jack O Lantern,jack_o_lantern,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Jigsaw,jigsaw,64,Yes,op_blocks,no_loot_table,Yes,,,,No
Jukebox,jukebox,64,Yes,functional_blocks; redstone_blocks,default,No,,drop_self,,Yes
Jungle Boat,jungle_boat,1,No,tools_and_utilities,,No,,,,No
Jungle Button,jungle_button,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Chest Boat,jungle_chest_boat,1,No,tools_and_utilities,,No,,,,No
Jungle Door,jungle_door,64,Yes,building_blocks,default,No,,custom,,Yes
Jungle Fence,jungle_fence,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Fence Gate,jungle_fence_gate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Hanging Sign,jungle_hanging_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Jungle Leaves,jungle_leaves,64,Yes,natural_blocks,default,No,,custom,,Yes
Jungle Log,jungle_log,64,Yes,building_blocks; natural_blocks,default,No,,drop_self,,Yes
Jungle Planks,jungle_planks,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Pressure Plate,jungle_pressure_plate,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Sapling,jungle_sapling,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Jungle Sign,jungle_sign,16,Yes,functional_blocks,default,No,,drop_self,,Yes
Jungle Slab,jungle_slab,64,Yes,building_blocks,default,No,,custom,,Yes
Jungle Stairs,jungle_stairs,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Trapdoor,jungle_trapdoor,64,Yes,building_blocks,default,No,,drop_self,,Yes
Jungle Wood,jungle_wood,64,Yes,building_blocks,default,No,,drop_self,,Yes
Kelp,kelp,64,Yes,natural_blocks,default,No,,drop_self,,Yes
Knowledge Book,knowledge_book,1,No,,,No,,,,No
